id,authors,original_title,title,language_code
8912,Nic Pizzolatto,Galveston,Galveston,eng
8913,"Mac Barnett, Jon Klassen",,Extra Yarn (E. B. White Read-Aloud Award. Picture Books),eng
8914,Justin Torres,We the Animals,We the Animals,eng
8915,Daniel C. Dennett,Breaking the Spell: Religion as a Natural Phenomenon,Breaking the Spell: Religion as a Natural Phenomenon,en-US
8916,"Edmund Spenser, Thomas P. Roche, C. Patrick O'Donnell",The Faerie Queene,The Faerie Queene ,eng
8917,Francine Rivers,Her Daughter's Dream,"Her Daughter's Dream (Marta's Legacy, #2)",en-US
8918,Kristen Ashley,,"Rock Chick Revolution (Rock Chick, #8)",eng
8919,Alissa Nutting,Tampa,Tampa,
8920,Arthur Nersesian,The Fuck-Up,The Fuck-Up,en-US
8921,Steve Alten,MEG: A Novel of Deep Terror,"Meg (MEG, #1)",eng
8922,Frank Beddor,Seeing Redd,"Seeing Redd (The Looking Glass Wars, #2)",en-US
8923,John O'Hara,Appointment in Samarra,Appointment in Samarra,eng
8924,"Janet Ahlberg, Allan Ahlberg",Each Peach Pear Plum,Each Peach Pear Plum,eng
8925,"Gene Kim, Kevin Behr, George Spafford",,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",en-GB
8926,Brandon Stanton,,Humans of New York,eng
8927,"Chris Van Allsburg, Lois Lowry, Kate DiCamillo, M.T. Anderson, Louis Sachar, Stephen King, Tabitha King, Jon Scieszka, Sherman Alexie, Gregory Maguire, Cory Doctorow, Jules Feiffer, Linda Sue Park, Walter Dean Myers, Lemony Snicket",,The Chronicles of Harris Burdick: 14 Amazing Authors Tell the Tales,en-US
8928,"Erin Gruwell, Zlata Filipović, The Freedom Writers",The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them,The Freedom Writers Diary,eng
8929,Fareed Zakaria,The Post-American World 2.0,The Post-American World,eng
8930,Jon Ronson,Them: Adventures with Extremists,Them: Adventures with Extremists,en-US
8931,"Susanna Clarke, Charles Vess",The Ladies of Grace Adieu and Other Stories,The Ladies of Grace Adieu and Other Stories,en-US
8932,Dinah Bucholz,,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),
8933,Bill Browder,"Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice","Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice",en-GB
8934,David Bach,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,
8935,Cat Patrick,Forgotten,Forgotten,eng
8936,Jill Leovy,Ghettoside: A True Story of Murder in America,Ghettoside: A True Story of Murder in America,
8937,"Terry Jones, Brian Froud",Lady Cottington's Pressed Fairy Book,Lady Cottington's Pressed Fairy Book,eng
8938,Chevy Stevens,That Night,That Night,eng
8939,Paul Torday,Salmon Fishing in the Yemen,Salmon Fishing in the Yemen,eng
8940,Alex  Ross,The Rest Is Noise: Listening to the Twentieth Century,The Rest Is Noise: Listening to the Twentieth Century,eng
8941,Katie Klein,Cross My Heart,"Cross My Heart (Cross My Heart, #1)",eng
8942,Trish Doller,Something Like Normal,Something like Normal,eng
8943,Glenn Greenwald,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State","No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",eng
8944,Orson Scott Card,Pastwatch: The Redemption of Christopher Columbus,Pastwatch: The Redemption of Christopher Columbus,en-US
8945,Lisa Gardner,The Next Accident,"The Next Accident (Quincy & Rainie, #3)",en-US
8946,Hafez,دیوان‎‎ [Dīvān],The Divan,eng
8947,John L. Parker Jr.,Once a Runner,Once a Runner,
8948,Ben Hatke,Zita the Spacegirl,"Zita the Spacegirl (Zita the Spacegirl, #1)",eng
8949,"Dante Alighieri, Dorothy L. Sayers, Barbara Reynolds",Paradiso,"Paradiso (The Divine Comedy, #3)",eng
8950,William  Boyd,Restless,Restless,eng
8951,Nancy Farmer,"The Ear, the Eye, and the Arm","The Ear, the Eye, and the Arm",
8952,"Amy Lichtenhan, A.L. Jackson",Pulled,"Take This Regret (Take This Regret, #1)",eng
8953,R.L. Stine,Stay Out of the Basement,"Stay Out of the Basement  (Goosebumps, #2)",
8954,Kathryn Croft,,The Girl You Lost,eng
8955,Belle Aurora,Willing Captive,Willing Captive,eng
8956,R.L. Stine,One Day at Horrorland,"One Day at Horrorland (Goosebumps, #16)",
8957,David Lebovitz,The Sweet Life in Paris: A Recipe for Living in the World's Most Delicious City,The Sweet Life in Paris: Delicious Adventures in the World's Most Glorious - and Perplexing - City,eng
8958,Julie Kagawa,Talon,"Talon (Talon, #1)",eng
8959,Grace Draven,Radiance,"Radiance (Wraith Kings, #1)",eng
8960,Mark Haddon,The Red House,The Red House,eng
8961,"Larry Niven, Jerry Pournelle",Footfall,Footfall,
8962,Heather Brewer,Twelfth Grade Kills,"Twelfth Grade Kills (The Chronicles of Vladimir Tod, #5)",eng
8963,Alistair MacLean,Ice Station Zebra,Ice Station Zebra,eng
8964,Ronald C. White Jr.,A. Lincoln: A Biography,A. Lincoln,en-US
8965,"William Shakespeare, Sylvan Barnet, Alvin Kernan, Russell Fraser","Four Great Tragedies: Hamlet, Othello, King Lear, Macbeth (Signet Classics)",Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth,en-US
8966,Susan Elizabeth Phillips,Ain't She Sweet?,Ain't She Sweet,en-GB
8967,Jodi Ellen Malpas,,"Promised (One Night, #1)",eng
8968,Neal Shusterman,Bruiser,Bruiser,en-US
8969,Jon J. Muth,Stone Soup,Stone Soup,
8970,Lois McMaster Bujold,Falling Free,"Falling Free (Vorkosigan Saga, #4)",eng
8971,Gayle Forman,,"If I Stay Collection (If I Stay, #1-2)",eng
8972,Jeffery Deaver,The Cold Moon,"The Cold Moon (Lincoln Rhyme, #7)",en-US
8973,Salman Rushdie,The Moor's Last Sigh,The Moor's Last Sigh,eng
8974,Gayle Tzemach Lemmon,"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe","The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe",eng
8975,David Foster Wallace,Girl with Curious Hair,Girl With Curious Hair,
8976,Stephen King,The Shawshank Redemption,Rita Hayworth and Shawshank Redemption: A Story from Different Seasons,eng
8977,A.J. Jacobs,,Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection,eng
8978,Bill Watterson,The Revenge of the Baby-Sat: A Calvin and Hobbes Collection,The Revenge of the Baby-Sat,
8979,Arthur Conan Doyle,The Case-Book of Sherlock Holmes,The Case-Book of Sherlock Holmes,eng
8980,Tonya Hurley,Ghostgirl,"Ghostgirl (Ghostgirl, #1)",eng
8981,"Mary Higgins Clark, Alafair Burke",I've Got You Under My Skin,"I've Got You Under My Skin (Under Suspicion, #1)",eng
8982,"Bill Willingham, Mark Buckingham, Steve Leialoha, Aaron Alexovich, Andrew Pepoy","Fables, Volume 10: The Good Prince","Fables, Vol. 10: The Good Prince",eng
8983,Barbara Delinsky,The Secret Between Us,The Secret Between Us,
8984,"Larry Bond, Patrick Larkin",Red Phoenix,Red Phoenix (Red Phoenix #1),eng
8985,Linwood Barclay,Never Look Away,Never Look Away,eng
8986,Dean Koontz,Your Heart Belongs to Me,Your Heart Belongs to Me,eng
8987,"Leigh Nichols, Dean Koontz",Shadow Fires,Shadow Fires,eng
8988,Naomi Novik,"Victory of Eagles (Temeraire, #5)","Victory of Eagles (Temeraire, #5)",en-GB
8989,Malorie Blackman,"Knife Edge (Noughts and Crosses, #2)","Knife Edge (Noughts & Crosses, #2)",
8990,"James Rollins, Rebecca Cantrell",The Blood Gospel: The Order of the Sanguines Series,"The Blood Gospel (The Order of the Sanguines, #1)",en-CA
8991,Tijan,,"Fallen Crest Public (Fallen Crest High, #3)",eng
8992,Josh Kilmer-Purcell,I Am Not Myself These Days,I Am Not Myself These Days,eng
8993,Lauren Barnholdt,,Sometimes It Happens,en-US
8994,Kathy Reichs,Bones Are Forever,"Bones Are Forever (Temperance Brennan, #15)",eng
8995,Robin McKinley,Deerskin,Deerskin,en-US
8996,Michael Herr,Dispatches,Dispatches,en-GB
8997,"Henning Mankell, Laurie Thompson",Handen,"The Troubled Man (Kurt Wallander, #10)",eng
8998,Lorenzo Carcaterra,Sleepers,Sleepers,eng
8999,"Walter Benjamin, Michael W. Jennings, Brigid Doherty, Edmund F.N. Jephcott, Rodney Livingstone, Howard Eiland, Thomas Y. Levin",Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,"The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media",eng
9000,Mary Higgins Clark,Pretend You Don't See Her,Pretend You Don't See Her,eng
9001,"Sarah Palin, Lynn Vincent, Dewey Whetsell",Going Rogue: An American Life,Going Rogue: An American Life,eng
9002,"Anne Byrn, Anthony Loew",The Cake Mix Doctor,The Cake Mix Doctor,
9003,Rick Yancey,The Monstrumologist,"The Monstrumologist (The Monstrumologist, #1)",eng
9004,Robert A. Caro,The Path to Power,"The Path to Power (The Years of Lyndon Johnson, #1)",eng
9005,Patricia Cornwell,Depraved Heart,"Depraved Heart (Kay Scarpetta, #23)",
9006,Forrest Carter,The Education of Little Tree,The Education of Little Tree,
9007,Gena Showalter,Intertwined,"Intertwined (Intertwined, #1)",eng
9008,Richard Brautigan,In Watermelon Sugar,In Watermelon Sugar,eng
9009,"Ali Novak, Fallzswimmer",My Life with the Walter Boys,My Life with the Walter Boys (My Life with the Walter Boys #1),eng
9010,John Marsden,Burning For Revenge,"Burning For Revenge (Tomorrow, #5)",eng
9011,Crissy Calhoun,Love You to Death: The Unofficial Companion to The Vampire Diaries,Love You to Death: The Unofficial Companion to the Vampire Diaries,en-US
9012,Liane Moriarty,,The Husband's Secret Free Preview,eng
9013,Myra McEntire,Hourglass,"Hourglass (Hourglass, #1)",eng
9014,"Al Ries, Jack Trout",Positioning: The Battle for Your Mind,Positioning: The Battle for Your Mind: How to Be Seen and Heard in the Overcrowded Marketplace,
9015,Nalini Singh,,Play of Passion (Psy-Changeling #9),eng
9016,Laurann Dohner,,"Fury (New Species, #1)",eng
9017,David B.,,Epileptic,eng
9018,Tracy Letts,August: Osage County,August: Osage County,eng
9019,Tad Williams,Mountain of Black Glass,"Mountain of Black Glass (Otherland, #3)",en-US
9020,Susan Elia MacNeal,,"Mr. Churchill's Secretary (Maggie Hope Mystery, #1)",eng
9021,"Gregory Maguire, Douglas Smith",Lost,Lost,eng
9022,Christopher Priest,The Prestige,The Prestige,eng
9023,Donald McCaig,Rhett Butler's People,Rhett Butler's People,
9024,Tony Kushner,Angels in America:  A Gay Fantasia on National Themes,Angels in America,eng
9025,Michael Ondaatje,Anil's Ghost,Anil's Ghost,eng
9026,Dean Koontz,Winter Moon,Winter Moon,eng
9027,Kristen Ashley,The Will,"The Will (Magdalene, #1)",eng
9028,"Chris Colfer, Brandon Dorman",A Grimm Warning,"A Grimm Warning (The Land of Stories, #3)",eng
9029,Scott  Meyer,,"Spell or High Water (Magic 2.0, #2)",eng
9030,Melody Anne,The Billionaire Wins the Game,"The Billionaire Wins the Game (Billionaire Bachelors, #1)",eng
9031,Maya Banks,Never Love a Highlander,"Never Love a Highlander (McCabe Trilogy, #3)",eng
9032,"Andrew Hunt, Dave Thomas",The Pragmatic Programmer: From Journeyman to Master,The Pragmatic Programmer: From Journeyman to Master,en-US
9033,Dee Lestari,Supernova: Petir,Supernova: Petir,ind
9034,James S.A. Corey,Babylon's Ashes,"Babylon's Ashes (The Expanse, #6)",eng
9035,Katee Robert,"Wrong Bed, Right Guy","Wrong Bed, Right Guy (Come Undone, #1)",eng
9036,"T.C. Boyle, Richard Poe",Drop City,Drop City,eng
9037,"Brian K. Vaughan, Pia Guerra, José Marzán Jr., Pamela Rambo, Clem Robins, J.G. Jones",Y: The Last Man - The Deluxe Edition Book One,Y: The Last Man - The Deluxe Edition Book One,eng
9038,Diablo Cody,Candy Girl,Candy Girl: A Year in the Life of an Unlikely Stripper,en-US
9039,أنيس منصور,حول العالم في 200 يوم,حول العالم في 200 يوم,ara
9040,"James Patterson, Michael Ledwidge",Alert,"Alert (Michael Bennett, #8)",eng
9041,Madeline Sheehan,,"Unattainable (Undeniable, #3)",eng
9042,Peter Heller,The Painter,The Painter,eng
9043,Steven Spielberg,Close Encounters of the Third Kind,Close Encounters Of The Third Kind,eng
9044,"Anne Rice, Robert O'Keefe, F. Murray Abraham, Michael York, Kate Nelligan, David Purdham",The Vampire Chronicles,"Vampire Chronicles: Interview with the Vampire, The Vampire Lestat, The Queen of the Damned (Anne Rice)",eng
9045,"Stan Berenstain, Jan Berenstain",,The Berenstain Bears Forget Their Manners,en-US
9046,Olivia Cunning,Hot Ticket,"Hot Ticket (Sinners on Tour, #3)",eng
9047,Iris Johansen,The Search,"The Search (Eve Duncan, #3)",en-US
9048,J.K. Rowling,,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,eng
9049,Audre Lorde,Zami: A New Spelling of My Name,Zami: A New Spelling of My Name,eng
9050,"Cassandra Clare, Hye-Kyung Baek",,"The Infernal Devices: Clockwork Angel (The Infernal Devices: Manga, #1)",eng
9051,Tere Liye,Hafalan Shalat Delisa,Hafalan Shalat Delisa,ind
9052,Darynda Jones,Sixth Grave on the Edge,"Sixth Grave on the Edge (Charley Davidson, #6)",en-US
9053,John Flanagan,"The Royal Ranger (Ranger's Apprentice, #12)","The Royal Ranger (Ranger's Apprentice, #12)",
9054,Amy Waldman,The Submission,The Submission,eng
9055,"Alan Lee, Ian McKellen",The Lord of the Rings Sketchbook,The Lord of the Rings Sketchbook,eng
9056,Jenna Black,Glimmerglass,"Glimmerglass (Faeriewalker, #1)",en-US
9057,"James Patterson, Howard Roughan",Don't Blink,Don't Blink,eng
9058,"Stephen Jones, H.P. Lovecraft, Kim Newman, Brian Mooney, Nicholas Royle, David Langford, Michael Marshall Smith, Brian Lumley, Neil Gaiman, Basil Copper, Jack Yeovil, Guy N. Smith, Adrian Cole, D.F. Lewis, Ramsey Campbell, David Sutton, Peter Tremayne",The Shadows Over Innsmouth,Shadows over Innsmouth,eng
9059,James Lee Burke,The Tin Roof Blowdown,"The Tin Roof Blowdown (Dave Robicheaux, #16)",eng
9060,Nick Cave,The Death of Bunny Munro,The Death of Bunny Munro,eng
9061,"Jeff Brown, Scott Nash, Macky Pamintuan",Flat Stanley,"Flat Stanley (Flat Stanley, #1)",eng
9062,Julie Kagawa,"Winter's Passage (Iron Fey, #1.5)","Winter's Passage (Iron Fey, #1.5)",eng
9063,Donald Crews,Freight Train (Caldecott Collection),Freight Train,
9064,Kate Clifford Larson,Rosemary: The Hidden Kennedy Daughter,Rosemary: The Hidden Kennedy Daughter,en-CA
9065,Jennifer Haigh,Faith,Faith,en-US
9066,Lynsay Sands,Bite Me If You Can,Bite Me If You Can (Argeneau #6),en-US
9067,Kristen Ashley,,"The Golden Dynasty (Fantasyland, #2)",eng
9068,Mary Higgins Clark,Moonlight Becomes You,Moonlight Becomes You,eng
9069,Ann M. Martin,A Corner of the Universe,A Corner of the Universe,eng
9070,Alice Hoffman,The Ice Queen,The Ice Queen,en-US
9071,Enid Blyton,The Folk of Faraway Tree,"The Folk of the Faraway Tree (The Faraway Tree, #3)",eng
9072,Garth Risk Hallberg,City on Fire,City on Fire,eng
9073,Kathleen E. Woodiwiss,The Flame and the Flower,The Flame and the Flower,
9074,Raymond E. Feist,Exile's Return,"Exile's Return (Conclave of Shadows, #3)",
9075,Jessica Day George,Princess of Glass,"Princess of Glass (The Princesses of Westfalin Trilogy, #2)",eng
9076,The Church of Jesus Christ of Latter-day Saints,Preach My Gospel (A Guide to Missionary Service),Preach My Gospel: A Guide To Missionary Service,
9077,Jasper Fforde,The Last Dragonslayer,"The Last Dragonslayer (The Chronicles of Kazam, #1)",eng
9078,Edward Said,Orientalism,Orientalism,eng
9079,Gerald N. Lund,"The Work and the Glory, Vol. 2: Like a Fire Burning","Like a Fire Burning (The Work and the Glory, #2)",
9080,Eric Jerome Dickey,Friends and Lovers,Friends and Lovers,eng
9081,Georgia Byng,Molly Moon's Incredible Book of Hypnotism,"Molly Moon's Incredible Book of Hypnotism (Molly Moon, #1)",eng
9082,Matthew Reilly,Contest,Contest,
9083,Nick Hornby,31 Songs,Songbook,en-US
9084,Tom Brokaw,The Greatest Generation,The Greatest Generation,
9085,Philip K. Dick,The Minority Report,The Minority Report,
9086,Lynn Flewelling,Luck in the Shadows,"Luck in the Shadows (Nightrunner, #1)",eng
9087,Jacqueline Davies,The Lemonade War,"The Lemonade War (The Lemonade War, #1)",en-US
9088,"Mary Pope Osborne, Salvatore Murdocca","The Knight at Dawn (Magic Tree House, #2)","The Knight at Dawn (Magic Tree House, #2)",eng
9089,H.M. Ward,,"The Arrangement: The Ferro Family (The Arrangement, #1)",eng
9090,Ilana Tan,Winter in Tokyo,Winter in Tokyo,ind
9091,John Searles,,Help for the Haunted,eng
9092,"Tsugumi Ohba, Takeshi Obata",デスノート #6 (Desu Nōto) Kōkan (交換),"Death Note, Vol. 6: Give-and-Take (Death Note, #6)",eng
9093,"Rick Riordan, Robert Venditti, José Villarrubia, Attila Futaki",The Lightning Thief: The Graphic Novel,"The Lightning Thief: The Graphic Novel (Percy Jackson and the Olympians, #1)",eng
9094,"Clint Hill, Lisa McCubbin",,Mrs. Kennedy and Me: An Intimate Memoir,eng
9095,W.P. Kinsella,Shoeless Joe,Shoeless Joe,eng
9096,Charles Martin,When Crickets Cry,When Crickets Cry,en-US
9097,Naomi Klein,This Changes Everything: Capitalism vs. The Climate,This Changes Everything: Capitalism vs. The Climate,eng
9098,Richard Kadrey,Aloha from Hell,"Aloha from Hell (Sandman Slim, #3)",en-US
9099,Aurora Rose Reynolds,,"Until Lilly (Until, #3)",eng
9100,Peter Jenkins,A Walk Across America,A Walk Across America,en-US
9101,Olivia Cunning,Try Me,"Try Me (One Night with Sole Regret, #1)",eng
9102,Michael Patrick MacDonald,All Souls: A Family Story from Southie,All Souls: A Family Story from Southie,eng
9103,Terry Brooks,Wizard at Large ,"Wizard at Large (Magic Kingdom of Landover, #3)",
9104,"William March, Elaine Showalter",The Bad Seed ,The Bad Seed,eng
9105,Kim Karr,Connected,"Connected (Connections, #1)",eng
9106,L.A. Weatherly,Angel Fire,"Angel Fire (Angel, #2)",eng
9107,Ira Wagler,Growing up Amish,Growing Up Amish,eng
9108,Toni Aleo,,"Taking Shots (Assassins, #1)",eng
9109,J.  Daniels,Sweet Addiction,"Sweet Addiction (Sweet Addiction, #1)",eng
9110,Steve Sheinkin,Bomb: The Race to Build—and Steal—the World's Most Dangerous Weapon,Bomb: The Race to Build—and Steal—the World's Most Dangerous Weapon,eng
9111,Suketu Mehta,Maximum City: Bombay Lost and Found,Maximum City: Bombay Lost and Found,eng
9112,Bob Grant,,Bambi,eng
9113,Carolly Erickson,The Last Wife of Henry VIII,The Last Wife of Henry VIII,en-US
9114,Edgar Allan Poe,The Complete Tales and Poems of Edgar Allan Poe,The Complete Tales and Poems,eng
9115,"Douglas Preston, Lincoln Child",Gideon's Sword,"Gideon's Sword (Gideon Crew, #1)",en-US
9116,Agatha Christie,A Caribbean Mystery,"A Caribbean Mystery (Miss Marple, #10)",eng
9117,Danielle Steel,,Accident,
9118,"Brian Kilmeade, Don Yaeger",,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,eng
9119,Sharon Kay Penman,When Christ and His Saints Slept,"When Christ and His Saints Slept  (Henry II & Eleanor of Aquitaine, #1)",eng
9120,"Eugene Bradley Coco, Ron Dias",Pinocchio (A Little Golden Book),Pinocchio,
9121,Peter F. Hamilton,Great North Road,Great North Road,eng
9122,Christine Zolendz,,"Fall From Grace (Mad World, #1)",en-GB
9123,"Anton Chekhov, Richard Pevear, Larissa Volokhonsky",,The Complete Short Novels,eng
9124,"Stan Berenstain, Jan Berenstain",,The Berenstain Bears Go to School,en-US
9125,H.A. Rey,Curious George Takes a Job,Curious George Takes a Job,
9126,"Jeph Loeb, Tim Sale, Bjarne Hansen",Superman for All Seasons,Superman for All Seasons,en-US
9127,"Federico García Lorca, Antonio Sobejano-Moran, Paola Bianco",La casa de Bernarda Alba,La casa de Bernarda Alba,
9128,Sherrilyn Kenyon,Retribution,"Retribution (Dark-Hunter, #19)",en-US
9129,Irvine Welsh,Glue,Glue,eng
9130,A.G. Howard,Unhinged,"Unhinged (Splintered, #2)",eng
9131,Cecelia Ahern,How to Fall in Love,How to Fall in Love,eng
9132,Judith McNaught,Until You,"Until You (Westmoreland, #3)",en-US
9133,R.A. Salvatore,,"Servant of the Shard (Forgotten Realms: Paths of Darkness, #3; The Sellswords, #1)",en-US
9134,"Lettie B. Cowman, James Reimann",Streams in the Desert,Streams in the Desert,
9135,Jennifer Estep,,"Venom (Elemental Assassin, #3)",eng
9136,"Cassandra Clare, Joshua Lewis",The Shadowhunter's Codex,The Shadowhunter's Codex,eng
9137,Chris Heimerdinger,"Tennis Shoes Among the Nephites (Tennis Shoes, #1)","Tennis Shoes Among the Nephites (Tennis Shoes, #1)",eng
9138,Laurie Faria Stolarz,Blue Is for Nightmares,"Blue is for Nightmares (Blue is for Nightmares, #1)",en-US
9139,Stephen King,Three Complete Novels: Carrie/Salem's Lot/The Shining,Carrie / 'Salem's Lot / The Shining,eng
9140,Kelley Armstrong,Personal Demon,"Personal Demon (Women of the Otherworld, #8)",eng
9141,Brandon Sanderson,"The Way of Kings, Part 1","The Way of Kings, Part 1 (The Stormlight Archive #1.1)",eng
9142,Richard Paul Evans,The Christmas List,The Christmas List,eng
9143,"Jenna Jameson, Neil Strauss",How to Make Love Like a Porn Star: A Cautionary Tale,How to Make Love Like a Porn Star: A Cautionary Tale,eng
9144,Brad Meltzer,The Tenth Justice,The Tenth Justice,
9145,Anita Shreve,,Stella Bain,
9146,Derek Landy,Dark Days,"Dark Days (Skulduggery Pleasant, #4)",eng
9147,Stephen King,"The Green Mile, Part 3: Coffey's Hands","The Green Mile, Part 3: Coffey's Hands",eng
9148,Jacquelyn Frank,Jacob,"Jacob (Nightwalkers, #1)",eng
9149,Katie MacAlister,,You Slay Me (Aisling Grey #1),en-US
9150,Rachel Joyce,Perfect,Perfect,eng
9151,Norman Bridwell,Clifford's Halloween (Clifford),Clifford's Halloween,eng
9152,"Philip Pullman, John Lawrence",Lyra's Oxford,"Lyra's Oxford (His Dark Materials, #3.5)",en-US
9153,Rachel Vincent,"If I Die (Soul Screamers, #5)","If I Die (Soul Screamers, #5)",eng
9154,"James Patterson, Mark T. Sullivan",Private Berlin,Private Berlin (Private #5),eng
9155,Lisa Gardner,The Other Daughter,The Other Daughter,eng
9156,"Mary Hoffman, Caroline Binch",Amazing Grace,Amazing Grace,en-US
9157,"David Eddings, Leigh Eddings",The Redemption of Althalus,The Redemption of Althalus,
9158,Emma Donoghue,Slammerkin,Slammerkin,eng
9159,Rachel Gibson,Simply Irresistible,"Simply Irresistible (Chinooks Hockey Team, #1)",eng
9160,Julie James,About That Night,"About That Night (FBI/US Attorney, #3)",eng
9161,Bisco Hatori,桜蘭高校ホスト部 3,"Ouran High School Host Club, Vol. 3 (Ouran High School Host Club, #3)",eng
9162,Nancy Tillman,On the Night You Were Born,On the Night You Were Born,en-US
9163,Rachel Bertsche,,MWF Seeking BFF: My Yearlong Search For A New Best Friend,eng
9164,"Brandon Sanderson, Jon Foster",Legion: Skin Deep,"Skin Deep (Legion, #2)",eng
9165,Jennifer L. Armentrout,Wicked,"Wicked (A Wicked Saga, #1)",eng
9166,Meg Cabot,Insatiable,"Insatiable (Insatiable, #1)",eng
9167,J.  Daniels,Where I Belong,"Where I Belong (Alabama Summer, #1)",eng
9168,Debbie Macomber,Back on Blossom Street,"Back on Blossom Street (Blossom Street, #4)",eng
9169,"François Lelord, Lorenza García",Le Voyage d’Hector ou la recherche du bonheur,Hector and the Search for Happiness,eng
9170,Joshilyn Jackson,"Between, Georgia","Between, Georgia",en-US
9171,Jennifer Crusie,Faking It ,"Faking It (Dempseys, #2)",eng
9172,"Haruki Murakami, Alfred Birnbaum, Philip Gabriel",アンダーグラウンド [Andāguraundo],Underground: The Tokyo Gas Attack and the Japanese Psyche,eng
9173,Indu Sundaresan,The Twentieth Wife,"The Twentieth Wife (Taj Mahal Trilogy, #1)",en-US
9174,Erica Stevens,,"Captured (The Captive, #1)",en-GB
9175,Piers Anthony,"Split Infinity (Apprentice Adept, #1)",Split Infinity  (Apprentice Adept #1),eng
9176,Rob Bell,Sex God: Exploring the Endless Connections Between Sexuality And Spirituality,Sex God: Exploring the Endless Connections between Sexuality and Spirituality,en-US
9177,Isabel Wolff,A Vintage Affair,A Vintage Affair,en-GB
9178,Hanif Kureishi,The Buddha of Suburbia,The Buddha of Suburbia,eng
9179,Sarah Crossan,Breathe,"Breathe (Breathe, #1)",en-US
9180,"Brian Coffey, Dean Koontz",The Voice of the Night ,The Voice of the Night,eng
9181,Alex Rosenberg,The Girl from Krakow,The Girl from Krakow,eng
9182,Michael J. Sandel,Justice: What's the Right Thing to Do?,Justice: What's the Right Thing to Do?,en-US
9183,Mitchell Zuckoff,13 Hours: The Inside Account of What Really Happened In Benghazi,13 Hours: The Inside Account of What Really Happened In Benghazi,eng
9184,Richelle Mead,Succubus Shadows ,"Succubus Shadows (Georgina Kincaid, #5)",en-US
9185,Leila Meacham,Roses,Roses,en-US
9186,Jennifer Crusie,Crazy For You,Crazy For You,
9187,Maya Angelou,Letter to My Daughter,Letter to My Daughter,eng
9188,Lionel Shriver,The Post-Birthday World ,The Post-Birthday World,eng
9189,Mordicai Gerstein,The Man Who Walked Between the Towers,The Man Who Walked Between the Towers,en-GB
9190,Cassandra Clare,,"City of Bones / City of Ashes / City of Glass / City of Fallen Angels / City of Lost Souls (The Mortal Instruments, #1-5)",
9191,"José Saramago, Margaret Jull Costa",O Homem Duplicado,The Double,en-US
9192,Richelle Mead,Thorn Queen,"Thorn Queen (Dark Swan, #2)",en-GB
9193,Jacqueline Sheehan,Lost & Found,"Lost & Found (Rocky Pelligrino, #1)",eng
9194,Beatrix Potter,The Tale of Mrs. Tiggy-Winkle,The Tale of Mrs. Tiggy-Winkle,
9195,Piers Anthony,For Love of Evil,"For Love of Evil (Incarnations of Immortality, #6)",
9196,Sarah Jio,Blackberry Winter,Blackberry Winter,eng
9197,Raymond Chandler,Trouble Is My Business,Trouble Is My Business,eng
9198,Madeleine L'Engle,"An Acceptable Time (Time Quintet, #5)","An Acceptable Time (A Wrinkle in Time Quintet, #5)",eng
9199,Steve Berry,The Third Secret,The Third Secret,eng
9200,Jenny Nimmo,"Charlie Bone and the Shadow (The Children of the Red King, # 7)","Charlie Bone and the Shadow (The Children of the Red King, #7)",
9201,Lynsay Sands,Love Bites,Love Bites (Argeneau #2),eng
9202,Hillary Rodham Clinton,Hard Choices,Hard Choices,eng
9203,"Bob Gale, Devin Grayson, Alex Maleev, Dale Eaglesham","Batman: No Man's Land, Vol. 1","Batman: No Man's Land, Vol. 1",eng
9204,"Jeffrey D. Sachs, Bono",,The End of Poverty,
9205,Esi Edugyan,Half Blood Blues,Half Blood Blues,eng
9206,Katrina Kittle,The Kindness of Strangers,The Kindness of Strangers,en-US
9207,Robin Benway,Emmy & Oliver,Emmy & Oliver,eng
9208,Scott McCloud,The Sculptor,The Sculptor,eng
9209,Victoria Jamieson,Roller Girl,Roller Girl,eng
9210,P.D. Eastman,The Best Nest,The Best Nest,en-US
9211,J.L. Bourne,Day By Day Armageddon: Beyond Exile ,"Beyond Exile (Day by Day Armageddon,# 2)",eng
